Indicator Reference Number,Formal Title,Public Title,Constituent Questions,Method of Calculation,Theme2,Polarity (high is…),Notes
IQOL17001,"% respondents ""very satisfied"" or ""fairly satisfied"" with their local area as a place to live","
% satisfied with their local area",Q17001,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents, excluding ""don't know""",Community & Living,good,"Performance measure is estimate for deprived areas, but it is also for Exec Director Mtg (EDM), a city wide performance measure and to reduce the gap in most deprived 10% areas
2018:
Question wording amended to match ""Are You Being Served?""
Adverb ""Overall"" applied to main text of question
Answer option ""Don't know "" added"
IQOL17002,"% respondents who ""strongly agree"" or ""tend to agree"" they can influence decisions that affect their local area",% who agree they can influence decisions that affect their local area,Q17002,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Council & Democracy,good,
IQOL17004,"% respondents who ""strongly agree"" or ""tend to agree"", in their neighbourhood, people from different backgrounds get on well together",% who agree people from different backgrounds get on well together in their neighbourhood,Q17004,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Community & Living,good,Children's Centres 2020 data pack
IQOL17006,"% respondents who ""strongly agree"" or ""tend to agree"" they feel they belong to their neighbourhood",% who feel they belong to their neighbourhood,Q17006,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Community & Living,good,Children's Centres 2020 data pack
IQOL17007,"% respondents who think dog fouling is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think dog fouling is a problem locally,Q17007,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Community & Living,bad,
IQOL17008,"% respondents who think street litter is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think street litter is a problem locally,Q17008,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Sustainability & Environment,bad,
IQOL17009,"% respondents who think noise from residential neighbours is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think noise from residential neighbours is a problem,Q17009,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Community & Living,bad,
IQOL17011,"% respondents who think anti-social graffiti is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think anti-social graffiti is a problem locally,Q17011,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Community & Living,bad,
IQOL17012,"% respondents who think traffic congestion is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think traffic congestion is a problem locally,Q17012,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Transport,bad,
IQOL17013,"% respondents who think air quality and traffic pollution is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think air quality and traffic pollution is a problem locally,Q17013,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Sustainability & Environment,bad,"2020: Theme changed from ""Transport"""
IQOL17014,% respondents who meet friends and family at least every week,% who meet friends and family at least once a week,Q17014,"Number of respondents who select/tick ""most days"" or ""every week"" divided by total number of respondents",Health & Wellbeing,good,
IQOL17015,"% respondents who see friends and family as much as they want to or sometimes, it's OK",% who see friends and family as much as they want to,Q17015,"Number of respondents who select/tick ""I see friends and family as much as I want"" or ""I see them sometimes, it's OK"" divided by total number of respondents",Health & Wellbeing,good,
IQOL17016,% respondents who feel lonely because they don't see friends and family very much or at all,% who feel lonely because they don't see friends and family enough,Q17015,"Number of respondents who select/tick ""I feel lonely because I do not see them very much or at all"" divided by total number of respondents",Health & Wellbeing,bad,
IQOL17017,% respondents who help out their neighbours,% who help out their neighbours,Q17016,"Number of respondents who select/tick ""help out my neighbours"" divided by number of respondents who select/tick any of the six answer options",Community & Living,good,
IQOL17018,% respondents who help out or volunteer with a community group,% who volunteer with a community group,Q17016,"Number of respondents who select/tick ""community group"" divided by number of respondents who select/tick any of the six answer options",Community & Living,good,
IQOL17019,% respondents who help out or volunteer with a charity,% who volunteer with a charity,Q17016,"Number of respondents who select/tick ""charity"" divided by number of respondents who select/tick any of the six answer options",Community & Living,good,
IQOL17020,% respondents who help out or volunteer at a sports event/club,% who volunteer at a sports event/club,Q17016,"Number of respondents who select/tick ""sports event/club"" divided by number of respondents who select/tick any of the six answer options",Community & Living,good,Not used to plan any services by Public Health (Healthy Lifestyles and Place)
IQOL17021,% respondents who help out or volunteer with other community e.g faith/church,% who volunteer with other community e.g faith/church,Q17016,"Number of respondents who select/tick ""other community (e.g. faith/church)"" divided by number of respondents who select/tick any of the six answer options",Community & Living,good,
IQOL17022,% respondents who volunteer or help out in their community at least 3 times a year,% who volunteer or help out in their community at least 3 times a year,Q17017,"Number of respondents who select/tick ""most weeks"", ""every month"" or ""a few times a year"" divided by total number of respondents",Community & Living,good,
IQOL17023,% respondents who lack the time to get involved in their community as much as they would like,% who lack the time to get involved in their community,Q17018,"Number of respondents who select/tick ""lack of time"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,
IQOL17024,% respondents whose money problems stop them from getting involved in their community as much as they like,% whose money problems stop them from getting involved in their community,Q17018,"Number of respondents who select/tick ""money problems"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,
IQOL17025,% respondents whose poor health stops them from getting involved in their community as much as they like,% whose poor health stops them from getting involved in their community,Q17018,"Number of respondents who select/tick ""poor health"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,
IQOL17026,% respondents who lack the information to get involved in their community as much as they like,% who lack the information to get involved in their community,Q17018,"Number of respondents who select/tick ""lack of information"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,Children's Centres 2020 data pack
IQOL17027,% respondents for whom benefit rules stop them from getting involved in their community as much as they like,% for whom benefit rules stop them from getting involved in their community,Q17018,"Number of respondents who select/tick ""benefit rules"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,
IQOL17028,% respondents for whom accessibility issues stop them from getting involved in their community as much as they like,% for whom accessibility issues stop them from getting involved in their community,Q17018,"Number of respondents who select/tick ""access (for disabled people)"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,
IQOL17029,% respondents who say nothing prevents them from leaving their home when they want to or need to,% who say nothing prevents them from leaving their home when they want to,Q17019,"Number of respondents who select/tick ""nothing/never"" divided by number of respondents who select/tick any of the first ten answer options or enter/write an obstacle preventing them leaving home in ""Other (please describe)""",Community & Living,good,"If ""nothing/never"" is selected but any of the other options (except for ""fear of losing parking space"") is ticked or ""valid"" obstacle preventing respondent leaving home is entered/written then ""nothing/never"" is unselected i.e. it is not counted in the numerator.
If ""nothing/never"" is not selected, none of the other options (ignoring ""fear of losing parking space"") is selected and a""valid"" obstacle preventing respondent leaving home is not entered/written  but ""fear of losing parking space"" is selected or ""invalid"" obstacle preventing respondent leaving home is entered/written then ""nothing/never"" is selected i.e. it is counted in the numerator."
IQOL17030,% respondents whose fear of crime prevents them from leaving their home when they want to or need to,% whose fear of crime prevents them from leaving their home when they want to,Q17019,"Number of respondents who select/tick ""fear of crime"" divided by number of respondents who select/tick any of the first ten answer options or enter/write an obstacle preventing them leaving home in ""Other (please describe)""",Crime & Safety,bad,
IQOL17032,% respondents for whom inaccessible public transport prevents them from leaving their home when they want to or need to,% for whom inaccessible public transport prevents them from leaving their home when they want to,Q17019,"Number of respondents who select/tick ""inaccessible public transport"" divided by number of respondents who select/tick any of the first ten answer options or enter/write an obstacle preventing them leaving home in ""Other (please describe)""",Transport,bad,
IQOL17033,% respondents whose lack of support and assistance prevents them from leaving their home when they want to or need to,% whose lack of support and assistance prevents them from leaving their home when they want to,Q17019,"Number of respondents who select/tick ""lack of support and assistance"" divided by number of respondents who select/tick any of the first ten answer options or enter/write an obstacle preventing them leaving home in ""Other (please describe)""",Health & Wellbeing,bad,
IQOL17034,% respondents whose financial circumstances prevents them from leaving their home when they want to or need to,% whose financial circumstances prevent them from leaving their home when they want to,Q17019,"Number of respondents who select/tick ""financial circumstances"" divided by number of respondents who select/tick any of the first ten answer options or enter/write an obstacle preventing them leaving home in ""Other (please describe)""",Community & Living,bad,
IQOL17037,% respondents whose caring responsibilities prevents them from leaving their home when they want to or need to,% whose caring responsibilities prevent them from leaving their home when they want to,Q17019,"Number of respondents who select/tick ""caring responsibilities"" divided by number of respondents who select/tick any of the first ten answer options or enter/write an obstacle preventing them leaving home in ""Other (please describe)""",Health & Wellbeing,bad,Note childcare not included in numerator unless caring is related to long-term ill-health or disability
IQOL17039,"% respondents who ""strongly agree"" or ""tend to agree"" it is convenient and pleasant to walk in their neighbourhood",% who feel it is convenient and pleasant to walk in their neighbourhood,Q17020,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Community & Living,good,
IQOL17040,"% respondents who ""strongly agree"" or ""tend to agree"" locally anti-social behaviour is a problem",% who feel anti-social behaviour is a problem locally,Q17021,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Crime & Safety,bad,
IQOL17041,"% respondents who ""strongly agree"" or ""tend to agree"" police and local public services successfully deal with issues of crime and anti-social behaviour in their area",% who feel police and public services successfully tackle crime and anti-social behaviour locally,Q17022,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Crime & Safety,good,
IQOL17042,"% respondents who ""strongly agree"" or ""tend to agree"" fear of crime affects their day-to-day life",% whose fear of crime affects their day-to-day lives,Q17023,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Crime & Safety,bad,Performance measure is for deprived areas
IQOL17043,"% respondents who ""strongly agree"" or ""tend to agree"" people using drugs is a problem in their area",% who feel drug use is a problem locally,Q17024,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Crime & Safety,bad,Children's Centres 2020 data pack
IQOL17044,"% respondents who ""strongly agree"" or ""tend to agree"" domestic abuse is a private matter",% who think domestic abuse is a private matter,Q17025,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Crime & Safety,bad,"Used to plan campaigns / interventions in communities to raise awareness about domestic abuse. It also informs commissioning.

Children's Centres 2020 data pack"
IQOL17046,"% respondents who ""strongly agree"" or ""tend to agree"" sexual harassment is an issue in Bristol",% who think sexual harassment is an issue in Bristol,Q17027,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Crime & Safety,bad,Used to plan campaigns / interventions in communities to raise awareness about domestic abuse. It also informs commissioning.
IQOL17047,% respondents who have been discriminated against or harassed in the last 12 months because of age,% victim of age discrimination or harassment in last year,Q17028,"Number of respondents who select/tick ""yes"" divided by total number of respondents",Crime & Safety,bad,
IQOL17048,% respondents who have been discriminated against or harassed in the last 12 months because of disability,% victim of disability discrimination or harassment in last year,Q17029,"Number of respondents who select/tick ""yes"" divided by total number of respondents",Crime & Safety,bad,Children's Centres 2020 data pack
IQOL17049,% respondents who have been discriminated against or harassed in the last 12 months because of religion/faith,% victim of religious discrimination or harassment in last year,Q17030,"Number of respondents who select/tick ""yes"" divided by total number of respondents",Crime & Safety,bad,Children's Centres 2020 data pack
IQOL17050,% respondents who have been discriminated against or harassed in the last 12 months because of sexual orientation,% victim of discrimination or harassment in last year due to sexual orientation,Q17031,"Number of respondents who select/tick ""yes"" divided by total number of respondents",Crime & Safety,bad,Children's Centres 2020 data pack
IQOL17051,% respondents who have been discriminated against or harassed in the last 12 months because of ethnicity/race,% victim of racial discrimination or harassment in last year,Q17032,"Number of respondents who select/tick ""yes"" divided by total number of respondents",Crime & Safety,bad,Children's Centres 2020 data pack
IQOL17052,% respondents who have been discriminated against or harassed in the last 12 months because of sex,% victim of sex discrimination or harassment in last year,Q17033,"Number of respondents who select/tick ""yes"" divided by total number of respondents",Crime & Safety,bad,
IQOL17053,"% respondents who feel ""very safe"" or ""fairly safe"" outdoors after dark",% who feel safe outdoors after dark,Q17034,"Number of respondents who select/tick ""very safe"" or ""fairly safe"" divided by total number of respondents excluding ""does not apply""",Crime & Safety,good,"2018:
Question wording amended to match ""Are You Being Served?""

Children's Centres 2020 data pack"
IQOL17054,"% respondents who feel ""very safe"" or ""fairly safe"" outdoors during the day",% who feel safe outdoors during the day,Q17035,"Number of respondents who select/tick ""very safe"" or ""fairly safe"" divided by total number of respondents excluding ""does not apply""",Crime & Safety,good,"2018:
Question wording amended to match ""Are You Being Served?""

Children's Centres 2020 data pack"
IQOL17055,% respondents who have been a victim of crime in the last 12 months,% who have been a victim of crime in the last 12 months,Q17036,"Number of respondents who select/tick ""yes"" divided by total number of respondents",Crime & Safety,bad,Children's Centres 2020 data pack
IQOL17059,"% respondents ""very satisfied"" or ""fairly satisfied"" with the local bus service",% satisfied with the local bus service,Q17040,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Transport,good,
IQOL17060,"% respondents ""very satisfied"" or ""fairly satisfied"" with information on local bus services",% satisfied with information on local bus services,Q17041,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Transport,good,
IQOL17061,"% respondents ""very satisfied"" or ""fairly satisfied"" with the quality of parks and green spaces",% satisfied with the quality of parks and green spaces,Q17042,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Sustainability & Environment,good,
IQOL17064,"% respondents ""very satisfied"" or ""fairly satisfied"" with leisure facilities/services",% satisfied with leisure facilities/services,Q17045,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Culture & Leisure,good,Used to performance manage leisure contracts
IQOL17065,"% respondents ""very satisfied"" or ""fairly satisfied"" with libraries",% satisfied with libraries,Q17046,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Culture & Leisure,good,2021: removed as DMT PI
IQOL17066,"% library card holders ""very satisfied"" or ""fairly satisfied"" with libraries",% library card holders satisfied with libraries,"Q17039
Q17046","Out of the respondents who select/tick ""yes"" to the question ""Do you have a Bristol library card?"" (Q17039), the number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Culture & Leisure,good,distinguishes between customers/users of the service and people who just have an opinion about libraries
IQOL17067,"% non-library card holders ""very satisfied"" or ""fairly satisfied"" with libraries",% non-library card holders satisfied with libraries,"Q17039
Q17046","Out of the respondents who select/tick ""no"" to the question ""Do you have a Bristol library card?"" (Q17039), the number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Culture & Leisure,good,distinguishes between customers/users of the service and people who just have an opinion about libraries
IQOL17068,"% respondents ""very satisfied"" or ""fairly satisfied"" with museums and galleries",% satisfied with museums and galleries,Q17047,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Culture & Leisure,good,
IQOL17069,"% respondents ""very satisfied"" or ""fairly satisfied"" with adult learning opportunity",% satisfied with adult learning opportunities,Q17048,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Education & Skills,good,
IQOL17070,"% respondents ""very satisfied"" or ""fairly satisfied"" with weekly recycling service",% satisfied with the recycling service,Q17049,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Sustainability & Environment,good,
IQOL17071,"% respondents ""very satisfied"" or ""fairly satisfied"" with fortnightly general household waste collection (black wheelie bin) service",% satisfied with the general household waste service,Q17050,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Sustainability & Environment,good,
IQOL17072,"% respondents ""very satisfied"" or ""fairly satisfied"" public land is kept clear of litter and refuse",% satisfied public land is kept clear of litter and refuse,Q17051,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Sustainability & Environment,good,
IQOL17073,% respondents who visit Bristol's parks and green spaces at least once a week,% who visit Bristol's parks and green spaces at least once a week,Q17052,"Number of respondents who select/tick ""5 times a week or more"" or ""1 to 4 times a week"" divided by total number of respondents",Sustainability & Environment,good,
IQOL17074,"% respondents ""very satisfied"" or ""fairly satisfied"" with then range and quality of outdoor events in Bristol",% satisfied with the range and quality of outdoor events,Q17053,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents",Culture & Leisure,good,Performance measure is for citywide and the most deprived 10% areas
IQOL17075,% respondents who participate in cultural activity at least once a month,% who participate in cultural activities at least once a month,Q17054,"Number of respondents who select/tick ""every week"" or ""at least once a month"" divided by total number of respondents",Culture & Leisure,good,
IQOL17076,% respondents who never participate in cultural activity,% who never participate in cultural activities,Q17054,"Number of respondents who select/tick ""never"" divided by total number of respondents",Culture & Leisure,bad,
IQOL17078,% respondents who take part in active sport at least once a week,% who play sport at least once a week,Q17056,"Number of respondents who select/tick ""5 times a week or more"", ""3 to 4 times a week"" or ""1 to 2 times a week"" divided by total number of respondents",Health & Wellbeing,good,"Performance measure is for 10% most deprived areas, but also reported citywide at DMT level
Supports core cities project on tackling inactivity in the three 'least active' wards"
IQOL17079,% respondents who ride a bicycle at least once a week,% who ride a bicycle at least once a week,Q17057,"Number of respondents who select/tick ""5 times a week or more"", ""2 to 4 times a week"" or ""once a week"" divided by total number of respondents",Transport,good,
IQOL17080,% respondents who have access to the internet at home,% who have access to the internet at home,Q17058,"Number of respondents who select/tick ""yes - via home broadband through cable TV or a telephone line"" or ""yes - via my mobile phone or mobile broadband"" divided by number of respondents who select/tick any of the three answer options",Community & Living,good,Performance measure is for deprived areas
IQOL17081,% respondents who have access to the internet at home through cable TV or telephone line,% who have access to the internet at home through cable TV or telephone line,Q17058,"Number of respondents who select/tick ""yes - via home broadband through cable TV or a telephone line"" divided by number of respondents who select/tick any of the three answer options",Community & Living,neutral,
IQOL17082,% respondents who have access to the internet at home via mobile phone or mobile broadband,% who have access to the internet at home via mobile phone or mobile broadband,Q17058,"Number of respondents who select/tick ""yes - via my mobile phone or mobile broadband"" divided by number of respondents who select/tick any of the three answer options",Community & Living,neutral,
IQOL17087,"% respondents ""very concerned"" or ""fairly concerned"" about the impact of climate change in the UK",% concerned about climate change,Q17063,"Number of respondents who select/tick ""very concerned"" or ""fairly concerned"" divided by total number of respondents",Sustainability & Environment,good,
IQOL17094,% respondents who have reduced their household waste due to climate change concerns,% who have reduced their household waste due to climate change concerns,Q17066,"Number of respondents who select/tick ""Action taken due to climate change concerns"" divided by number of respondents who select/tick any of the three answer options",Sustainability & Environment,good,
IQOL17095,% respondents who have reduced energy use at home due to climate change concerns,% who have reduced energy use at home due to climate change concerns,Q17067,"Number of respondents who select/tick ""Action taken due to climate change concerns"" divided by number of respondents who select/tick any of the three answer options",Sustainability & Environment,good,
IQOL17096,% respondents who have eaten less meat and dairy produce due to climate change concerns,% who have eaten less meat and dairy produce due to climate change concerns,Q17068,"Number of respondents who select/tick ""Action taken due to climate change concerns"" divided by number of respondents who select/tick any of the three answer options",Sustainability & Environment,good,
IQOL17097,"% respondents ""very satisfied"" or ""fairly satisfied"" with the state of repair of their home",% satisfied with the state of repair of their home,Q17070,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Housing,good,
IQOL17098,"% respondents ""very satisfied"" or ""fairly satisfied"" with the cost of heating their home",% satisfied with the cost of heating their home,Q17071,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Housing,good,
IQOL17099,"% respondents ""very satisfied"" or ""fairly satisfied"" with the cost of their rent or mortgage payments",% satisfied with the cost of their rent or mortgage payments,Q17072,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Housing,good,
IQOL17100,"% respondents ""very satisfied"" or ""fairly satisfied"" they can stay in their home for as long as they choose to",% satisfied they can stay in their home for as long as they choose to,Q17073,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Housing,good,
IQOL17101,"% respondents ""very satisfied"" or ""fairly satisfied"" with their landlord",% of renters who are satisfied with their landlord,Q17074,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Housing,good,survey design: strata are wards rather than lsoas
IQOL17102,"% respondents ""very satisfied"" or ""fairly satisfied"" overall with their current accommodation",% satisfied overall with their current accommodation,Q17075,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents excluding ""does not apply""",Housing,good,
IQOL17103,% respondents who live alone,% who live alone,Q17076,"Number of respondents who entered ""1"" divided by total number of respondents who entered a number",Community & Living,neutral,
IQOL17112,"% respondents whose health has been ""good"" or ""fairly good"" in the last 12 months",% in good health,Q17080,"Number of respondents who select/tick ""good"" or ""fairly good"" divided by total number of respondents",Health & Wellbeing,good,
IQOL17114,"% respondents satisfied with life (7 & above, from scale of 0-10)",% satisfied with life,Q17082,"Number of respondents who select/tick ""7"", ""8"", ""9"" or ""10"" divided by total number of respondents",Health & Wellbeing,good,Children's Centres 2020 data pack
IQOL17115,"% respondents with low life satisfaction (4 & below, from scale of 0-10)",% low life satisfaction,Q17082,"Number of respondents who select/tick ""0"", ""1"", ""2"", ""3"" or ""4"" divided by total number of respondents",Health & Wellbeing,bad,
IQOL17118,"% respondents with very high life satisfaction (9 & above, from scale of 0-10)",% very high life satisfaction,Q17082,"Number of respondents who select/tick ""9"" or ""10"" divided by total number of respondents",Health & Wellbeing,good,
IQOL17119,average rating of mental wellbeing,mean SWEMWBS score,"Q17083
Q17084
Q17085
Q17086
Q17087
Q17088
Q17089","Responses for each of the questions assigned a value from ""1"" for ""none of the time"" to ""5"" for ""all of the time"".  The values are summed to produce a score for each individual respondent between 5 and 35.  The individual scores are summed and then divided by the total number of respondents ",Health & Wellbeing,good,
IQOL17120,% respondents whose mental wellbeing score is above the national (UK) average,% above average mental wellbeing,"Q17083
Q17084
Q17085
Q17086
Q17087
Q17088
Q17089","Responses for each of the questions assigned a value from ""1"" for ""none of the time"" to ""5"" for ""all of the time"".  The values are summed to produce a score for each individual respondent between 5 and 35.  
Number of respondents whose score is 31 or above, divided by the total number of respondents",Health & Wellbeing,good,"Source for the UK National average mental well-being score: Understanding Society: UK Household Longitudinal Study
There was an increase in the SWEMWBS score from Wave 4 (used previously in 2015) compared to Wave 7 (most recent). Changed definition of above average by 1 point.
Definition of above average used is 1 standard deviation above the mean"
IQOL17121,% respondents whose mental wellbeing score is below the national (UK) average,% below average mental wellbeing,"Q17083
Q17084
Q17085
Q17086
Q17087
Q17088
Q17089","Responses for each of the questions assigned a value from ""1"" for ""none of the time"" to ""5"" for ""all of the time"".  The values are summed to produce a score for each individual respondent between 5 and 35.  
Number of respondents whose score is below 21, divided by the total number of respondents",Health & Wellbeing,bad,"Source for the UK National average mental well-being score: Understanding Society: UK Household Longitudinal Study

Definition of below average used is 1 standard deviation below the mean

Children's Centres 2020 data pack"
IQOL17122,% respondents who feel close to other people rarely or none of the time,% who rarely or never feel close to other people,Q17088,"Number of respondents who select/tick ""none of the time"" or """"rarely"" divided by total number of respondents",Health & Wellbeing,bad,
IQOL17123,% respondents who smoke,% smokers,Q17090,"Number of respondents who select/tick ""yes"" divided by total number of respondents",Health & Wellbeing,bad,
IQOL17124,% respondents who live in a household with a smoker,% households with a smoker,"Q17090
Q17091","Number of respondents who select/tick ""yes"" either to the question ""Do you smoke?"" (Q17090) or the question ""Does anyone else in your household smoke?"" (Q17091) divided by number of respondents who select/tick ""yes"" to Q17090 or Q17091, or select/tick ""no"" to Q17090 and ""no"" or ""don't know"" to Q17091",Health & Wellbeing,bad,
IQOL17125,% respondents who live in a household where someone smokes regularly within the home,% households where someone smokes regularly within the home,Q17092,"Number of respondents who select/tick ""yes"" divided by total number of respondents",Health & Wellbeing,bad,Children's Centres 2020 data pack
IQOL17129,% respondents underweight,% underweight,"Q17094
Q17095
Q17096",Number of respondents whose body mass index (BMI) is less than 18.5 divided by total number of respondents for whom a BMI can be calculated (excluding pregnant women),Health & Wellbeing,bad,
IQOL17130,% respondents overweight or obese,% overweight or obese,"Q17094
Q17095
Q17096",Number of respondents whose body mass index (BMI) is greater or equal to 25 divided by total number of respondents for whom a BMI can be calculated (excluding pregnant women),Health & Wellbeing,bad,
IQOL17131,% respondents obese,% obese,"Q17094
Q17095
Q17096",Number of respondents whose body mass index (BMI) is greater or equal to 30 divided by total number of respondents for whom a BMI can be calculated (excluding pregnant women),Health & Wellbeing,bad,
IQOL17132,% respondents morbidly obese,% morbidly obese,"Q17094
Q17095
Q17096",Number of respondents whose body mass index (BMI) is greater or equal to 40 divided by total number of respondents for whom a BMI can be calculated (excluding pregnant women),Health & Wellbeing,bad,
IQOL17137,% respondents who ate at least five portions of fruit and vegetables yesterday,% who eat at least five portions of fruit or vegetables per day,Q17100,"Number of respondents, where the sum of the number entered in Q17100v plus the number entered in Q17100f is five or more, divided by the number of respondents who entered a figure in both Q17100v and Q17100f or where the figure entered into either Q17100v or Q17100f is at least five",Health & Wellbeing,good,Performance measure is estimate for deprived areas
IQOL17140,"% respondents who find it ""quite"" or ""very"" difficult to manage financially these days",% who find it difficult to manage financially,Q17102,"Number of respondents who select/tick ""finding it quite difficult"" or ""finding it very difficult"" divided by total number of respondents",Economy,bad,Children's Centres 2020 data pack
IQOL17166,% respondents who drive to work,% who drive to work,Q17115,"Number of respondents who select/tick ""car (as driver)"" divided by total number of respondents",Transport,bad,
IQOL17167,% respondents who get a lift to work as a car passenger,% who get a lift to work as a car passenger,Q17115,"Number of respondents who select/tick ""car (as driver)"" divided by total number of respondents",Transport,neutral,
IQOL17168,% respondents who take the bus to work,% who take the bus to work,Q17115,"Number of respondents who select/tick ""bus"" divided by total number of respondents",Transport,good,
